genes,control_1,control_2,control_3,control_4,control_5,control_6,control_7,control_8,control_9,control_10,treatment1,treatment2,treatment3,treatment4,treatment5,treatment6,treatment7,treatment8,treatment9,treatment10
gene41,0,933,1899,674,0,0,4,3,0,0,12,3,30,0,245,116,67,50,1,8
gene42,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,0,0,0,0,0
gene43,24,39,39,40,24,37,30,65,11,21,17,7,7,1,1,0,0,3,3,4
gene44,0,1,9,0,2,0,2,0,3,4,0,0,0,0,0,0,0,510,1781,21
gene45,0,0,0,429,0,0,0,0,0,8,445,4169,0,0,2,0,0,741,0,0
gene46,1,3,42,155,85,73,6,2,1,0,1,0,2,1,0,19,15,0,4,0
gene47,0,0,0,4,1,2,1,2,5,4,0,0,0,2,0,2,0,0,2,1
gene48,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene49,0,0,0,0,0,0,0,0,0,0,18771,1,0,3,0,0,0,0,0,0
gene50,0,0,0,0,514,0,6,0,156,69,0,1,0,1,2,0,3,0,8,4
gene51,0,0,0,0,3,0,0,0,0,59,3,0,0,748,12,100,102,215,140,0
gene52,0,0,0,0,37,0,76,0,0,0,0,0,6,0,2050,0,0,0,737,69
gene53,0,1,1,1,3,1,0,0,1,1,17,27,261,352,0,594,0,14,80,905
gene54,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
gene55,3,1,10,8,0,6,7,5,1,3,139,0,0,0,0,0,235,0,0,0
gene56,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,1,0,0,2
gene57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528,0,0,0,46
gene58,10,0,4,20,0,28,12,12,2,0,11,1,12,0,14,4,12,9,3,11
gene59,0,6,0,0,3,0,0,0,1,0,0,3,2,0,0,1,2,1,0,0
gene60,0,0,0,0,0,0,0,0,0,0,0,120,141,0,4,22,0,46,0,1
gene61,0,2,2,14,0,5,0,0,2,0,48,0,113,443,5842,8222,20699,4210,3179,104
gene62,1025,34,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene63,0,1,9,0,1,0,9,5,23,16,10,12,4,1,1,1,1,9,4,10
gene64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0
gene65,0,1,1,0,0,0,0,0,0,0,18,30,15,17,8,0,22,31,13,16
gene66,1,1,0,2,1,1,0,2,0,0,113,55,6,16,8,10,6,62,15,145
gene67,0,0,0,0,0,0,0,1,0,0,6,40,0,4,21,47,0,6,29,25
gene68,2,3,10,10,0,1697,0,2266,412,281,769,8,0,0,0,0,0,0,0,0
gene69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2
gene70,10,18,1,27,55,115,8,149,0,46,5,7,20,2,9,5,0,4,40,0
gene71,3,4,16,3,0,2,0,0,33,0,411,0,6,1,9943,3251,0,143,15,0
gene72,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,2,0
gene73,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
gene74,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene75,480,86,202514,0,25215,0,0,7833,0,0,178,0,2,0,0,8,0,1,0,12
gene76,0,749,0,0,0,1512,1267,767,543,3,0,1,0,0,0,0,0,1,0,0
gene77,0,0,1,0,0,0,0,0,0,1,3,1,2,15,31,1,12,7,11,8
gene78,0,0,0,0,0,0,0,0,263,0,0,0,0,26559,3,139705,0,121,2337,3915
gene79,0,382,0,2,2,2,0,63,0,0,2,0,1,0,0,0,0,0,0,2
gene80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
gene81,0,0,0,0,0,391,3,0,6,0,0,0,1,0,0,0,0,0,0,0
gene82,0,0,0,0,0,3,0,0,5,5074,0,0,0,1,0,0,0,0,1,0
gene83,0,0,0,0,0,0,0,0,1,0,344,717,0,0,26,112,1,1279,0,18
gene84,0,0,0,0,0,0,0,0,0,0,4,207,929,0,10,0,0,0,2,0
gene85,1,1,1,0,0,0,0,0,1,0,46,0,3,2,0,1,0,58,7,0
gene86,6,0,2365,0,0,168,2579,0,7656,529,0,0,0,0,0,0,148,0,0,0
gene87,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0
gene88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene89,603,0,2734,7,140,0,10,0,15,0,0,19,1,3,0,4,20,4,24,0
gene90,1,0,1,1,8,15,4,56,28,29,0,0,0,0,0,0,0,0,0,0
gene91,0,0,3,3,0,14,0,0,0,0,7,0,0,4,0,11,7,14,2,3
gene92,0,0,0,0,0,3,0,6496,0,232,0,145,144,0,0,0,2,450,0,0
gene93,0,0,0,6,0,0,0,0,0,0,15,8,1,2,7,0,2,0,2,0
gene94,0,64,9,0,8,0,64,0,0,30,1,1,0,0,0,0,0,0,1,1
gene95,1,1,0,0,0,0,0,1,0,0,51,16,6,4,84,38,34,1,155,27
gene96,19,0,0,0,0,12011,0,0,0,0,1,0,1,0,1,0,1,0,0,0
gene97,1,56,94,29,4,71,7,275,20,11,1,0,0,0,0,0,0,0,0,0
gene98,1,3,0,0,1,0,0,2,0,0,2,0,0,1,0,1,3,2,3,0
gene99,1,1,0,0,1,1,0,0,0,1,31,0,24,0,68,0,6,0,0,0
gene100,100,0,0,270,0,0,0,0,0,1233,1,0,3,0,8,0,6,1,3,4
gene101,1,0,2,1,0,1,0,0,0,3,2,8,0,0,4,8,3,10,0,0
gene102,0,0,0,0,0,0,0,0,0,16,5,1,4,0,5,1,14,4,4,0
gene103,2,5,0,1,2,6,0,6,5,3,0,4,0,0,0,47524,0,0,1,0
gene104,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,2,4,0,1,4
gene105,1,0,1,0,0,0,0,0,0,0,10,0,0,31,3,1,11,0,8,6
gene106,0,0,1,0,0,1,3,2,0,3,0,1,0,1,0,1,3,0,0,0
gene107,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,1
gene108,51,63,0,358,173,0,0,0,0,0,0,2,0,1,3,28,0,0,0,3
gene109,0,0,1,2,3,3,2,1,1,1,0,0,0,1,0,0,1,0,0,0
gene110,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
gene111,7,1,0,3,28,39,0,0,0,0,1,0,0,0,0,1,0,0,0,0
gene112,1,1,0,0,0,0,36,1,0,0,4,3,2,0,1,0,4,1,2,3
gene113,801,0,123,0,8,3836,0,0,4925,2,0,0,0,0,0,0,0,0,1,0
gene114,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,1,1,0,0,0
gene115,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
gene116,558,10498,1649,1373,3556,6657,1301,1386,2692,5197,0,0,0,629,14485,68,12,14,0,0
gene117,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0
gene118,0,931,0,2,0,0,0,0,0,0,14,0,1,0,0,26,0,2,0,0
gene119,2,37,0,71,10,0,12,11,3,0,0,0,0,0,0,0,0,0,0,0
gene120,0,1,13261,2395,34,0,0,58601,0,0,33,23,11,280,3,25,37,27,96,34
gene121,2,3,8,3,0,2,7,2,3,1,0,0,0,47,14,15,1,0,0,84
gene122,1,0,0,0,0,0,0,0,0,0,0,1,0,212,1841,158,1056,2,517,1323
gene123,2,3,4,2,0,10,0,0,3,5,0,0,0,0,0,0,0,0,0,0
gene124,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene125,29,220,0,58,38,390,5,0,143,110,0,0,2,1,7,2,9,0,7,0
gene126,0,0,0,0,64,1489,0,2,0,0,6,53,7,8,0,7,0,2,10,13
gene127,0,0,0,0,0,0,0,0,0,0,0,12,1,0,4,11,0,0,0,50
gene128,0,2,1,1,2,4,1,0,3,0,1,0,3,2,0,4,2,9,9,1
gene129,8969,152,31,37,1454,970,9239,353,162,153,0,0,0,0,0,0,0,0,0,0
gene130,67,128,0,864,4553,3,42,51,0,2,3,0,1,2,0,0,0,0,0,1
gene131,1,0,0,0,0,0,0,0,1,0,0,1327,0,842,0,1877,304,65,0,8
gene132,0,0,0,0,1,0,2588,0,0,3334,0,1,0,0,0,0,0,0,0,0
gene133,0,0,21,8,10,0,17,16,1,0,1609,6,4523,0,111,0,1362,84,114,0
gene134,0,0,0,0,1,0,1,0,4,2,0,7,0,2462,6,5,0,30,3,0
gene135,0,1300,0,0,0,1694492,0,0,0,265217,0,0,0,0,0,0,0,0,0,0
gene136,0,0,0,0,1,1,1272,110,0,0,0,0,0,0,0,0,0,0,0,0
gene137,0,0,0,0,0,0,0,0,0,0,0,0,8,31,2,16,8,0,1,12
gene138,18,0,70,0,2071,0,34,1,28,2406,0,15,10,0,1,1,2,2,0,2
gene139,0,2,1,1,0,0,2,2,1,1,5,2,9,3,5,0,0,0,10,8
gene140,0,0,10,2481,0,0,0,0,204,0,0,0,0,0,0,0,0,0,1,1
gene141,0,0,0,0,0,0,0,13,0,0,0,0,0,4,0,815,0,40,566,3155
gene142,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
gene143,1,0,1,1,1,1,1,0,0,0,0,0,103,0,0,49,332,0,0,0
gene144,0,0,30,248,113,1,0,0,300,0,0,0,0,0,3,2,2,2,0,1
gene145,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,5,1,0,4,1
gene146,0,13,0,1,6,0,0,0,0,268,2,0,2,2,4,2,0,6,1,0
gene147,1,0,2,0,0,3,0,0,1,0,0,8,32905,0,114,0,0,3,668,0
gene148,0,0,0,0,0,0,9,0,0,0,89,0,0,1,2,138,0,13,128,137
gene149,0,0,4,0,0,3,12,18165,0,200,2359,68,0,1,0,0,0,303,0,2827
gene150,8,54,2,66,11,3,2,4,3,24,0,1,0,0,0,0,0,0,0,0
gene151,13,1,0,63,4,0,0,10,31,70,0,9282,0,1,68,0,0,0,0,12132
gene152,0,0,4368,0,13046,0,0,14220,0,2,0,0,0,0,1,1,0,0,0,0
gene153,1,0,7,2,1,0,0,28,10,0,3,1,4,10,12,6,4,0,0,2
gene154,0,0,0,1,0,1,0,0,0,0,5497,7,6051,34880,1483,10634,0,2479,0,2433
gene155,1,0,0,10,0,0,0,0,72,7,8,20,3,0,3,3,0,15,2,10
gene156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene157,0,0,0,1,0,0,0,0,0,0,4,0,1,2,3,16,0,15,2,2
gene158,0,2,0,0,0,99,0,6,0,5,7,7,2,0,1,0,11,0,0,2
gene159,0,0,0,0,0,0,0,0,0,0,58,2,8,14,7,0,24,1,44,11
gene160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene161,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
gene162,6,0,0,0,1,1,3,1,1,1,0,0,0,1,1,0,1,0,0,0
gene163,0,0,0,0,0,4330,0,2332,0,0,7,100,24,44,6,40,11,14,7,21
gene164,0,8,0,0,0,0,0,8,1879,0,0,0,0,1,0,0,0,0,0,0
gene165,4,175,2095,30,79,222,4442,414,615,247,46,27,0,0,0,11,3067,0,0,0
gene166,0,1,0,0,0,0,0,36,0,0,73,0,0,41,0,0,0,0,10,0
gene167,0,0,0,4372,0,0,0,0,1,0,0,57,30,1,1,15,1,4,8,27
gene168,11,10,0,0,0,4,0,1,1,1,0,21,0,122,0,461,5,2721,180,81
gene169,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,2,60,0,186229,0
gene170,1048,0,0,16,1581,811,2066,522,2003,27,5,190,13,321,158,43,99,55,212,330
gene171,0,0,0,56,20,2,0,1087,6044,109,14,18,0,0,304,3,0,0,0,0
gene172,0,0,0,0,1,0,1,0,0,0,0,1,4,7,3,1,8,0,1,4
gene173,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
gene174,5,6,1,5,2,5,6,2,8,5,0,1494437,0,0,0,0,0,0,0,3
gene175,0,181,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0
gene176,2,0,2,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
gene177,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
gene178,0,13,163,0,2524,8712,21,0,0,850,1,0,0,0,0,0,0,0,0,0
gene179,11,5,5,4,5,5,9,3,3,0,0,27,9,0,0,80,0,0,0,59
gene180,0,16909,0,0,0,0,0,151,0,0,0,1191,95,0,887,66,71,2140,0,7
gene181,1,1,1,2,0,1,1,1,0,3,1431820,341,125257,48394,25644,1450202,17170,19,2,2
gene182,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
gene183,18,1930,13,252,42,40,185,137,9,20,0,1,0,1,0,0,0,0,0,0
gene184,0,1,0,0,53,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0
gene185,0,0,0,0,0,0,0,0,0,0,2,271,1,23,61,3,0,5,1,0
gene186,2,1,8,0,0,0,3,6,3,10,0,0,0,0,0,0,0,0,1,1
gene187,0,691,23,0,142,0,11,0,3,29,0,0,350,1,21,536,2,33034,57,0
gene188,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
gene189,11,9,10,7,6,7,5,9,12,3,1,2,0,0,0,1,0,0,1,0
gene190,0,0,1403,535,0,0,46,260,1,743,0,0,17,0,0,0,14,0,0,51
gene191,1,2,3,2,12,0,0,1,0,18,558,11751,0,53,0,324,0,0,0,0
gene192,0,509,14,836,0,86,0,833,91,0,1,1,0,1,3,1,0,0,0,1
gene193,0,0,0,0,0,0,0,64,228,0,0,42,0,1872,0,5307,0,175,0,0
gene194,2,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
gene195,9,0,33,0,0,0,9,42,1,0,0,2,0,0,1,0,2,1,2,1
gene196,0,1,2,0,1,0,0,0,1,0,0,1,1,2,0,2,0,0,0,0
gene197,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene198,0,0,1,0,0,1,0,1,0,0,7,12,9,11,9,7,3,5,3,11
gene199,1,7,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
gene200,0,3441,0,0,0,0,62,0,0,0,0,4,2,0,0,1,2,1,0,4
gene201,0,2,0,0,0,0,0,0,6,0,0,0,1,0,0,4,1,0,4,1
gene202,0,0,0,0,0,0,0,0,0,0,0,329,24,41,22,0,0,1,0,20
gene203,0,2,1,0,0,2,0,1,1,0,4,0,0,0,2,0,1,0,0,2
gene204,27688,1077,0,2,24,18470,2824,0,0,100429,0,0,0,0,0,0,0,0,0,0
gene205,1008,114,0,0,2,0,0,0,7,5,177,77,204,115,23,40,240,2,95,22
gene206,0,0,0,1,0,0,0,0,0,0,2,2,3,1,0,1,0,0,1,6
gene207,15,619,17174,6,12,178,4,6,0,0,5,1,11,0,0,17,2,6,3,0
gene208,0,1,6,2,1,10,33,0,3,1,29,4,1,31,0,3,0,0,0,0
gene209,0,8423,0,225,200,4216,10,0,255,2755,140,30,0,0,0,77,3,0,0,17
gene210,1,1,1,0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
gene211,0,0,45,0,0,100,0,0,0,3,2,6,0,31,4,14,7,23,43,9
gene212,184,0,0,0,0,30,0,0,0,0,1,1,9,0,7,0,2,1,9,0
gene213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene214,0,0,0,0,0,0,2541,0,0,0,2,4,0,1,1,1,1,0,1,1
gene215,1,0,0,0,0,0,0,0,0,0,0,0,2,6,11,6,0,13,3,1
gene216,90,0,0,0,2,0,5,0,11,0,0,4,77,0,210,255,43,0,1,0
gene217,1,0,0,0,0,0,0,0,0,0,521,1149,1,359,25,676,0,50,690,111
gene218,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,4,0,0,3
gene219,78316,2,14,0,49,34,3074,13,0,294,4,16,5,0,47,34,21,116,0,18
gene220,0,0,0,0,0,0,0,0,0,0,0,18,2,33892,34216,34,261,187,230,0
gene221,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
gene222,0,0,1,0,0,0,0,0,0,0,171,5,4,7,19,0,0,0,86,1
gene223,6,0,1,1,0,1,2,0,0,0,6,0,0,22256,0,0,199,12210,8,2
gene224,30,7,18,31,16,39,3,7,0,9,0,15,76,0,0,2,81,54,19,101
gene225,0,0,0,2,0,0,2,0,0,0,0,2181,0,0,11,3,0,0,0,2
gene226,8335,9,142,46,495,14873,0,0,2477,0,1,0,0,0,2,2,0,0,0,0
gene227,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,3,1,0,1,2
gene228,0,0,0,685,1,0,0,0,0,0,0,0,4,1,0,0,1,0,1,0
gene229,0,0,0,10636,0,4883,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene231,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,37,103,1,0,0
gene232,0,0,21930,389,6768,0,0,0,3,106,0,0,6146,0,7330,22725,0,0,3696,16
gene233,0,0,0,0,0,55,3858,4484,0,0,0,0,0,0,0,0,0,1,0,0
gene234,26,15,3677,275,3121,0,1694,2157,2,0,0,0,0,0,0,0,1,3,1,8
gene235,0,0,0,0,66,81,1,0,0,933,346,0,0,0,90,0,161,0,0,0
gene236,2,37,8,18,4,14,4,7,63,40,1912,0,0,0,2,0,0,0,0,10
gene237,90625,1985,10373,2393,5326,787,0,0,887,0,0,0,3,0,251,0,0,0,0,0
gene238,0,0,0,0,1,1,0,1,0,5512,0,0,0,3,4,7,0,6,0,1
gene239,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
gene240,4,4421,0,0,0,204,0,0,0,154,0,0,0,0,498,0,0,0,0,0
gene241,31,0,379,0,0,135,6,0,4,2,0,0,0,0,0,1,0,0,0,0
gene242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene243,0,1,9,1,0,5,13,0,41,13,0,0,0,0,0,0,0,0,0,0
gene244,6,0,0,0,0,920,0,0,0,0,0,1,1,2,0,1,1,0,2,1
gene245,0,0,0,0,0,0,0,0,1,0,1,1,0,12,0,1,0,0,18,87
gene246,0,0,0,386,0,0,0,0,0,14,0,0,0,0,0,1,2,1,2,2
gene247,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
gene248,5,1076,0,0,0,0,0,0,0,6,933,0,13,592,0,21,0,19116,43,10
gene249,2,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,5102,129
gene250,166,0,0,6,0,26,0,2,1,27,0,0,0,0,0,0,0,0,0,0
gene251,0,0,0,0,0,0,1,1,0,0,0,0,0,330,12,21118,2214,0,0,0
gene252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
gene253,1,1,1,1,1,2,1,0,0,1,0,9,10,2,8,4,0,26,1,8
gene254,1,1,0,6,0,1,3,0,1,5,0,0,0,0,0,0,0,0,0,0
gene255,16,0,0,0,0,0,20,0,0,0,1,23,6,0,1,0,0,8,1,0
gene256,0,0,0,1568,0,11,0,0,0,306,0,0,0,0,0,0,0,0,1,0
gene257,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene258,0,0,1,1,3,2,1,0,0,3,0,1,0,1,0,0,0,0,0,0
gene259,0,0,0,0,0,3,0,0,0,0,0,0,111,6,84,116,12,3,398,8
gene260,30,11,13,27,18,26,20,24,22,23,9,44,993,0,1514,0,2091,3511,0,493
gene261,10,4,251,105,0,8,0,67,0,0,1,2,0,1,0,1,0,0,0,0
gene262,53,76,29,10,186,223,41,236,18,28,2,0,1,1,3,3,2,3,0,5
gene263,5218,15,4,0,0,117,11134,0,0,0,1,0,0,0,0,0,0,0,0,0
gene264,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
gene265,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,0,1,0,1,0
gene266,1,244,36,2,159,15,15,150,295,0,2,0,15,0,700,0,1,143,0,141
gene267,2,1,2,0,0,1,0,0,2,2,0,19,3543,3,0,285,6,0,7,1129
gene268,13,1,49,0,0,21,2,0,1,0,0,0,0,0,0,0,0,0,0,0
gene269,0,0,0,0,0,0,132,0,0,3254,0,4089,0,691,1753,0,0,949,12,0
gene270,0,0,0,0,0,1,0,0,0,24,2,0,2,1,3,3,0,1,0,124
gene271,294,0,722,6872,59,274,22792,439,0,0,15,164,0,0,149,365,0,0,69,402
gene272,0,0,0,0,0,0,0,0,0,0,5239,0,0,1039,12,0,0,1315,0,13
gene273,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
gene274,0,0,0,0,0,0,0,0,4,468,0,0,0,0,0,4,0,0,0,290
gene275,8520,4,2514,3069,7388,0,63,67,0,0,0,1,0,0,0,0,0,1,0,0
gene276,0,0,0,0,0,0,0,0,0,0,114,171,16,0,1,0,13,0,2,0
gene277,608,12833,0,0,5,0,376,0,5,3239,0,0,0,0,1,0,0,0,0,0
gene278,0,16,0,0,6,0,0,1,1,5,28141,0,0,0,32698,0,0,244,0,6073
gene279,0,0,36113,80,3628,296,13,102488,27509,0,2,1,1,0,0,0,0,1,1,1
gene280,0,1,0,0,0,0,0,0,0,0,0,4,0,3,0,4,0,1,3,0
gene281,0,0,0,524,0,0,50,168,200,1685,15,16,14,0,3,5,23,0,41,2
gene282,0,0,0,0,0,0,1,0,0,0,9,70,4,6,8,39,37,0,1,18
gene283,0,1,37,1,0,0,0,96,0,0,0,0,1,0,0,0,1,0,0,0
gene284,0,0,0,0,0,0,0,0,0,1,0,2,0,3276,1,315,9,88,109,9
gene285,0,0,0,0,0,0,0,0,1,1,23,5,4,4260,1298,84748,23,1767,0,1683
gene286,5237,1839,0,113,0,0,0,93,0,215,0,5,1,10,1,0,0,5,1,3
gene287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene288,1,0,2,5,2,0,0,9,1,3,1,285,0,2,21,62,0,0,74,35
gene289,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,2,16,0,1,0
gene290,2,0,0,0,2,0,0,1,1,1,1,2,0,0,6,1,0,0,7,3
gene291,0,1,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,334,1161
gene292,3,0,23,2,1,10,16,0,0,17,0,0,0,0,0,0,2,0,0,0
gene293,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
gene294,0,1,0,0,1,0,0,5,1,1,0,0,0,1,0,2,1,1,1,0
gene295,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0
gene296,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene297,0,3,1,1,0,1,2,0,2,3,0,0,0,0,0,0,0,0,0,0
gene298,0,49,0,0,0,188,0,0,9,65,0,0,0,0,0,0,0,0,0,0
gene299,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3,185,0,0,162,0
gene300,0,1,0,0,0,0,0,1,0,0,7,0,0,169331,0,6428,0,1038,0,0
gene301,0,0,0,0,0,0,0,0,0,0,10,24,5,0,0,0,0,0,0,1
gene302,0,0,0,0,0,0,0,0,0,0,2,0,4,10,53,0,0,0,5,0
gene303,0,0,0,0,0,0,0,1,0,0,0,0,0,923,0,0,0,125,0,1
gene304,3361,5196,1723,209,906,2797,773,59,1990,367,1,0,0,0,0,0,0,0,0,0
gene305,0,1,0,0,0,0,0,1,0,1,2,264,0,0,0,0,0,86,0,6
gene306,0,122,172,96,0,0,0,1,2,3,2,13,4,1,7,0,0,1,26,15
gene307,16,2,8,1,74,13,38,10,80,8,102,6,0,13,268,140,61,140,97,5
